tier,plan_count_2025Q4,plan_count_2026Q1,plan_count_delta,linked_formulary_ndc_rows_2025Q4,linked_formulary_ndc_rows_2026Q1,linked_formulary_ndc_rows_delta,median_plan_pref_cost_amt_2025Q4,median_plan_pref_cost_amt_2026Q1,median_plan_pref_cost_amt_delta,mean_plan_ded_applies_share_2025Q4,mean_plan_ded_applies_share_2026Q1,mean_plan_ded_applies_share_delta
1,5631,5514,-117,3178137,2708497,-469640,0.0,0.0,0,0.227668,0.133478,-0.09419
2,5359,5350,-9,4274125,4081351,-192774,0.0,0.0,0,0.213286,0.216449,0.003163
3,5354,5348,-6,3556321,3585091,28770,0.0,0.0,0,0.641576,0.804787,0.163211
4,5331,5348,17,4391056,4282776,-108280,0.0,0.0,0,0.674545,0.859761,0.185216
5,5301,5319,18,4097057,3980972,-116085,0.0,0.0,0,0.67591,0.862568,0.186658
6,1157,1497,340,210523,259058,48535,0.0,0.0,0,0.099395,0.045424,-0.053971
7,16,20,4,208,380,172,0.0,0.0,0,0.375,0.4,0.025
