sponsor_name,total_rows,matched_rows,repriced_rows,churn_rows,repricing_share_of_matched,churn_share_of_total,segment
"AMERICAN HEALTH PLAN OF MISSOURI, INC.",22644,17292,17288,5352,0.999769,0.236354,repricing_dominant
"AMERICAN HEALTH PLAN OF UT, INC.",22644,17292,17292,5352,1.0,0.236354,repricing_dominant
"GEORGIA ASSURANCE, INC.",22644,17292,17292,5352,1.0,0.236354,repricing_dominant
"KANSAS SUPERIOR SELECT, INC.",22644,17292,17290,5352,0.999884,0.236354,repricing_dominant
"MISSOURI CARE, INCORPORATED",22146,20352,20099,1794,0.987569,0.081008,repricing_dominant
REGENCE BLUECROSS BLUESHIELD OF UTAH,22056,20424,20259,1632,0.991921,0.073993,repricing_dominant
"CAREPARTNERS OF CONNECTICUT, INC.",21990,20238,20214,1752,0.998814,0.079673,repricing_dominant
"ELDERSERVE HEALTH, INC.",21786,20112,19731,1674,0.981056,0.076838,repricing_dominant
LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP,21786,20112,19566,1674,0.972852,0.076838,repricing_dominant
CLOVER HMO OF NEW JERSEY INC.,21642,20196,18456,1446,0.913844,0.066815,repricing_dominant
BANNER - UNIVERSITY CARE ADVANTAGE,21576,19890,19598,1686,0.985319,0.078142,repricing_dominant
"MOUNT CARMEL HEALTH PLAN OF NEW YORK, INC.",21552,20112,18158,1440,0.902844,0.066815,repricing_dominant
PARTNERS INSURANCE COMPANY OF NEW JERSEY INC,21468,19344,17678,2124,0.913875,0.098938,repricing_dominant
"LIFEWORKS ADVANTAGE, LLC",21192,19005,18935,2187,0.996317,0.103199,repricing_dominant
"NHC ADVANTAGE, LLC",21192,19002,18926,2190,0.996,0.103341,repricing_dominant
"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC",21192,19002,18919,2190,0.995632,0.103341,repricing_dominant
"HUMANA HEALTH PLAN OF OHIO, INC.",21150,19110,18288,2040,0.956986,0.096454,repricing_dominant
"CLEAR SPRING HEALTH (CO), INC.",21138,19860,19842,1278,0.999094,0.06046,repricing_dominant
"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC.",21138,19860,19830,1278,0.998489,0.06046,repricing_dominant
SANFORD HEALTH PLAN OF MINNESOTA,21138,19860,19836,1278,0.998792,0.06046,repricing_dominant
"WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC.",21057,19023,18417,2034,0.968144,0.096595,repricing_dominant
"WELLCARE OF MISSISSIPPI, INC.",21048,18882,18381,2166,0.973467,0.102908,repricing_dominant
California Physicians' Service,21036,19062,18086,1974,0.948799,0.093839,repricing_dominant
"COMMUNITY FIRST HEALTH PLANS, INC.",20970,18834,18768,2136,0.996496,0.10186,repricing_dominant
"SIGNATURE ADVANTAGE, LLC",20688,19158,18548,1530,0.96816,0.073956,repricing_dominant
"TEXAS INDEPENDENCE HEALTH PLAN, INC.",20658,19188,18814,1470,0.980509,0.071159,repricing_dominant
HORIZON INSURANCE COMPANY,20283,18696,18505,1587,0.989784,0.078243,repricing_dominant
"KS PLAN ADMINISTRATORS, LLC",20166,18954,18936,1212,0.99905,0.060101,repricing_dominant
ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,20139,18753,17111,1386,0.912441,0.068822,repricing_dominant
MEMORIAL HERMANN HEALTH PLAN,20106,18780,17713,1326,0.943184,0.06595,repricing_dominant
COMMUNITY HEALTH GROUP,19986,18834,17142,1152,0.910162,0.05764,repricing_dominant
"NEW CENTURY HEALTH PLAN, INC.",19986,18834,18004,1152,0.955931,0.05764,repricing_dominant
VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,19716,18834,18332,882,0.973346,0.044735,repricing_dominant
